,Year,bResult,rResult,gamelength
289,2016,1,0,34
290,2016,0,1,29
291,2016,1,0,30
292,2016,1,0,33
293,2016,0,1,46
294,2016,1,0,28
295,2016,0,1,33
296,2016,0,1,47
297,2016,1,0,26
298,2016,0,1,58
299,2016,0,1,31
300,2016,1,0,37
301,2016,0,1,39
302,2016,0,1,33
303,2016,0,1,28
304,2016,0,1,28
305,2016,0,1,31
306,2016,0,1,43
307,2016,1,0,30
308,2016,1,0,29
309,2016,1,0,40
310,2016,0,1,41
311,2016,1,0,30
312,2016,1,0,46
313,2016,1,0,26
314,2016,0,1,57
315,2016,1,0,38
316,2016,0,1,38
317,2016,1,0,30
318,2016,1,0,68
319,2016,1,0,30
320,2016,1,0,35
321,2016,0,1,30
322,2016,0,1,49
323,2016,0,1,41
324,2016,0,1,38
325,2016,1,0,25
326,2016,1,0,29
327,2016,0,1,35
328,2016,1,0,34
329,2016,1,0,44
330,2016,1,0,34
331,2016,0,1,30
332,2016,1,0,26
333,2016,0,1,45
334,2016,0,1,39
335,2016,1,0,33
336,2016,0,1,39
337,2016,1,0,32
338,2016,1,0,65
339,2016,1,0,43
340,2016,0,1,42
341,2016,0,1,44
342,2016,0,1,44
343,2016,1,0,51
344,2016,0,1,35
345,2016,1,0,57
346,2016,1,0,32
347,2016,1,0,41
348,2016,1,0,30
349,2016,1,0,34
350,2016,0,1,29
351,2016,1,0,48
352,2016,0,1,43
353,2016,1,0,39
354,2016,0,1,43
355,2016,1,0,32
356,2016,0,1,33
357,2016,1,0,34
358,2016,0,1,27
359,2016,1,0,43
360,2016,1,0,35
361,2016,0,1,35
362,2016,0,1,36
363,2016,0,1,36
364,2016,0,1,30
365,2016,1,0,28
366,2016,1,0,27
367,2016,0,1,32
368,2016,0,1,32
369,2016,0,1,58
370,2016,0,1,30
371,2016,1,0,27
372,2016,1,0,27
373,2016,1,0,44
374,2016,0,1,44
375,2016,1,0,41
376,2016,1,0,49
377,2016,0,1,33
378,2016,1,0,34
379,2016,0,1,30
380,2016,1,0,41
381,2016,0,1,28
382,2016,0,1,35
383,2016,1,0,42
384,2016,0,1,31
385,2016,0,1,27
386,2016,0,1,38
387,2016,1,0,29
388,2016,0,1,27
389,2016,1,0,43
390,2016,0,1,55
391,2016,1,0,37
392,2016,1,0,33
393,2016,1,0,28
394,2016,0,1,36
395,2016,1,0,29
396,2016,0,1,30
397,2016,1,0,39
398,2016,1,0,25
399,2016,0,1,29
400,2016,0,1,41
401,2016,0,1,37
402,2016,0,1,30
403,2016,0,1,40
404,2016,0,1,60
405,2016,0,1,37
406,2016,1,0,44
407,2016,1,0,35
408,2016,0,1,32
409,2016,1,0,35
410,2016,1,0,27
411,2016,0,1,32
412,2016,0,1,37
413,2016,1,0,33
414,2016,0,1,39
415,2016,1,0,24
416,2016,0,1,28
417,2016,1,0,27
418,2016,0,1,36
419,2016,0,1,30
420,2016,1,0,38
421,2016,0,1,47
422,2016,0,1,32
423,2016,1,0,37
424,2016,1,0,44
425,2016,1,0,55
426,2016,1,0,41
427,2016,0,1,36
428,2016,1,0,31
429,2016,1,0,36
430,2016,0,1,42
431,2016,1,0,45
432,2016,1,0,36
433,2016,0,1,34
434,2016,1,0,43
435,2016,1,0,41
436,2016,0,1,41
437,2016,0,1,25
438,2016,1,0,26
439,2016,1,0,28
440,2016,0,1,28
441,2016,0,1,28
442,2016,1,0,33
443,2016,1,0,35
444,2016,1,0,39
445,2016,0,1,28
446,2016,0,1,31
447,2016,1,0,25
448,2016,1,0,42
449,2016,0,1,31
450,2016,0,1,42
451,2016,1,0,41
452,2016,1,0,30
453,2016,0,1,33
454,2016,1,0,31
455,2016,0,1,40
456,2016,0,1,31
457,2016,1,0,32
458,2016,0,1,48
459,2016,1,0,38
460,2016,0,1,34
461,2016,0,1,33
462,2016,0,1,35
463,2016,0,1,32
464,2016,1,0,39
465,2016,0,1,41
466,2016,0,1,28
467,2016,1,0,25
468,2016,0,1,37
469,2016,0,1,38
470,2016,1,0,36
471,2016,0,1,42
472,2016,1,0,48
