,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,min_13,min_14,min_15,min_16,min_17,min_18,min_19,min_20,min_21,min_22,min_23,min_24,min_25,min_26,min_27,min_28,min_29,min_30,min_31,min_32,min_33,min_34,min_35,min_36,min_37,min_38,min_39,min_40,min_41,min_42,min_43,min_44,min_45,min_46,min_47,min_48,min_49,min_50,min_51,min_52,min_53,min_54,min_55,min_56,min_57,min_58,min_59,min_60,min_61,min_62,min_63,min_64,min_65,min_66,min_67,min_68,min_69,min_70,min_71,min_72,min_73,min_74,min_75,min_76,min_77,min_78,min_79,min_80,min_81,min_82,min_83,min_84,min_85,min_86,min_87,min_88,min_89,min_90,min_91,min_92,min_93,min_94,min_95
1801,0,0,-15,188,115,-386,-335,-651,-212,-502,-615,-774,-749,-841,-843,-510,-657,-1647.0,-1839.0,-1956.0,-2464.0,-5110.0,-5938.0,-7046.0,-8017.0,-8494.0,-9651.0,-10552.0,-10411.0,-10521.0,-11161.0,-9743.0,-9459.0,-10355.0,-10117.0,-9407.0,-9372.0,-9072.0,-9761.0,-13299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,0,0,92,65,139,863,746,959,1236,1242,1189,1250,1845,3141,2945,2484,2526,2578.0,3649.0,4226.0,4395.0,4842.0,4765.0,4752.0,5011.0,4928.0,4278.0,3080.0,3266.0,2557.0,3134.0,4771.0,4800.0,6413.0,6499.0,6741.0,7159.0,7211.0,7074.0,7167.0,6883.0,5521.0,3533.0,2210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,0,0,36,-69,171,-314,2,138,221,476,797,2,-6,22,1069,1406,2810,2439.0,2898.0,3057.0,3410.0,3378.0,3616.0,5782.0,6199.0,6383.0,8236.0,8613.0,8655.0,8798.0,9316.0,12317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,0,0,-62,-106,93,9,-8,-1096,-1340,-454,-328,-1163,-1109,-943,-913,-971,-892,-743.0,-338.0,-1155.0,-646.0,-853.0,-791.0,-682.0,-452.0,467.0,876.0,743.0,4225.0,6693.0,7360.0,7524.0,7747.0,4216.0,5050.0,4625.0,8788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,0,0,50,-27,-299,-496,-656,-850,-999,-1246,-1961,-2900,-2012,-2444,-2344,-2979,-3602,-3558.0,-4968.0,-5275.0,-5384.0,-5095.0,-5838.0,-5263.0,-6694.0,-7013.0,-7614.0,-7983.0,-7777.0,-7683.0,-7913.0,-8296.0,-9415.0,-9351.0,-9633.0,-10744.0,-10356.0,-11287.0,-9169.0,-9445.0,-11298.0,-13161.0,-13287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,0,0,43,-15,80,-347,-48,-254,-371,-43,-61,-437,-276,-1425,-1173,-2749,-3181,-4355.0,-4436.0,-4613.0,-2977.0,-4005.0,-5421.0,-5792.0,-8304.0,-8426.0,-8642.0,-8568.0,-8790.0,-9357.0,-8848.0,-12424.0,-13914.0,-17464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,0,0,-49,-45,-785,-615,-685,-845,-457,-423,-514,-462,-745,-601,-382,-112,-909,-1748.0,-175.0,-575.0,-890.0,-797.0,-1218.0,-621.0,-1123.0,-917.0,-1715.0,-1650.0,-1925.0,-2423.0,-2763.0,-1373.0,-913.0,-1809.0,-3112.0,-1603.0,-730.0,-802.0,1137.0,4589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,0,0,155,243,271,476,966,785,1047,1703,1597,1568,2795,2781,4854,5448,6130,5526.0,5300.0,5366.0,6096.0,6330.0,6762.0,7301.0,8017.0,9388.0,9502.0,10166.0,11513.0,13332.0,14558.0,18217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,0,0,110,-61,832,1206,1310,1385,296,-43,341,509,1466,1521,1222,1383,1594,1020.0,1651.0,1787.0,4424.0,4290.0,3855.0,4301.0,5278.0,6270.0,4981.0,5211.0,7183.0,5925.0,6241.0,7408.0,7779.0,9430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,0,0,18,-257,-372,-783,-814,-1025,-835,-1061,-1133,-3671,-3597,-4631,-4202,-4424,-5316,-7247.0,-7214.0,-10814.0,-10746.0,-11779.0,-13826.0,-15725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
